Date,Open,High,Low,Close,Adj Close,Volume
1/30/20,72.449997,73.110001,72.230003,73.110001,69.18692,379100
1/31/20,73.110001,73.110001,71.57,71.779999,67.928276,409600
2/3/20,72.190002,72.809998,72.190002,72.43,68.543404,407600
2/4/20,73.349998,73.769997,73.220001,73.589996,69.641136,371100
2/5/20,74.389999,74.389999,73.800003,74.279999,70.294113,309100
2/6/20,74.610001,74.610001,74.242996,74.449997,70.454987,253300
2/7/20,74.370003,74.43,74,74.169998,70.190033,318500
2/10/20,74.110001,74.669998,73.959999,74.669998,70.663208,258600
2/11/20,75.099998,75.209999,74.739998,74.849998,70.833549,303200
2/12/20,75.339996,75.339996,75.084999,75.290001,71.249939,269400
2/13/20,75.089996,75.459999,74.875,75.230003,71.193153,330300
2/14/20,75.449997,75.449997,75.086998,75.379997,71.335098,268300
2/18/20,75.32,75.32,74.870003,75.209999,71.174225,363000
2/19/20,75.5,75.720001,75.389999,75.580002,71.524368,250600
2/20/20,75.580002,75.650002,74.519997,75.290001,71.249939,344400
2/21/20,75.080002,75.080002,74.258003,74.440002,70.445549,220600
2/24/20,72.309998,72.737999,71.747002,72.040001,68.174316,454900
2/25/20,72.470001,72.5,69.610001,69.879997,66.130234,290900
2/26/20,70.239998,70.980003,69.375,69.589996,65.855804,357300
2/27/20,68.230003,69.099998,66.43,66.480003,62.912689,442400
2/28/20,64.470001,66.050003,63.700001,66.050003,62.505756,889100
3/2/20,66.709999,68.940002,65.833,68.940002,65.240677,499500
3/3/20,69.239998,69.898003,66.469002,67.129997,63.527786,728200
3/4/20,68.519997,69.970001,67.82,69.940002,66.187012,311900
3/5/20,68.360001,69,67.120003,67.730003,64.095589,543400
3/6/20,65.639999,66.75,64.910004,66.389999,62.827511,444100
3/9/20,62.52,64.760002,61.110001,61.360001,58.067406,438100
3/10/20,63.82,64.339996,61.071999,64.339996,60.887508,380800
3/11/20,62.68,62.880001,60.439999,61.259998,57.972782,625900
3/12/20,56.919998,59.380001,51,55.32,52.351528,2263600
3/13/20,58.709999,60.59,55.700001,60.57,57.319809,954500
3/16/20,52.5,57.279999,52.5,53.299999,50.439911,503500
3/17/20,54.41,57.248001,53.094002,56.799999,53.752102,786400
3/18/20,53.439999,55.015999,51.110001,53.880001,50.988792,633600
3/19/20,53.470001,55.369999,52.014999,54.119999,51.215916,868300
3/20/20,54.689999,55.063999,51.354,51.66,48.88792,775100
3/23/20,51.639999,51.639999,49.119999,49.98,47.298073,1300600
3/24/20,52.490002,54.959999,52.459999,54.825001,51.883083,1552300
3/25/20,55.110001,57.299999,53.66,55.27,52.553432,1943100
3/26/20,55.849998,58.720001,55.849998,58.369999,55.501072,1610400
3/27/20,56.75,58.349998,56.259998,56.709999,53.922657,1659000
3/30/20,57.369999,58.700001,56.865002,58.610001,55.729282,469600
3/31/20,58.529999,58.889999,57.380001,57.490002,54.66433,416100
4/1/20,55.75,56.209999,54.605,55.080002,52.372772,389500
4/2/20,55.060001,56.439999,54.790001,56.34,53.570847,387700
4/3/20,56.299999,56.619999,54.919998,55.544998,52.814911,447900
4/6/20,57.639999,59.66,57.509998,59.27,56.356831,407300
4/7/20,61.130001,61.448002,59.369999,59.369999,56.45192,370000
4/8/20,60.099998,61.549999,59.415001,61.27,58.25853,269400
4/9/20,62.27,62.950001,61.709999,62.389999,59.323475,23505600
4/13/20,62.369999,62.369999,60.759998,61.689999,58.657894,6279600
4/14/20,63.040001,63.709999,62.779999,63.650002,60.521553,1969200
4/15/20,62.299999,62.580002,61.709999,62.189999,59.133308,1604000
4/16/20,62.529999,62.689999,61.75,62.57,59.49464,1399400
4/17/20,64.110001,64.32,63.273998,64.160004,61.006489,881100
4/20/20,63.349998,64.138,63.063,63.18,60.074654,1204800
4/21/20,62.060001,62.210999,60.93,61.080002,58.077866,941100
4/22/20,62.490002,62.970001,62.07,62.57,59.49464,1139300
4/23/20,62.919998,63.59,62.466999,62.529999,59.456604,615600
4/24/20,63.009998,63.549999,62.389999,63.43,60.312374,1165000
4/27/20,63.900002,64.650002,63.869999,64.379997,61.215675,1051500
4/28/20,65.379997,65.379997,64.029999,64.029999,60.882885,697800
4/29/20,65.489998,66.160004,65.169998,65.839996,62.603909,637800
4/30/20,65.629997,65.629997,64.787003,65.129997,61.928806,4736500
5/1/20,64.059998,64.07,63.139999,63.43,60.312374,730400
5/4/20,62.990002,63.700001,62.66,63.689999,60.559586,1361400
5/5/20,64.389999,64.93,64.150002,64.230003,61.073048,583900
5/6/20,64.699997,64.769997,63.84,63.889999,60.749752,626700
5/7/20,64.779999,65.169998,64.603996,64.730003,61.548473,881400
5/8/20,65.410004,65.900002,65.25,65.830002,62.594414,523900
5/11/20,65.410004,66.235001,65.32,65.93,62.68948,799400
5/12/20,66.169998,66.199997,64.550003,64.57,61.396332,584800
5/13/20,64.510002,64.666,62.858002,63.419998,60.302864,635200
5/14/20,62.91,64.230003,62.259998,64.230003,61.073048,573300
5/15/20,63.709999,64.550003,63.446999,64.550003,61.377323,541500
5/18/20,66.059998,66.769997,65.970001,66.459999,63.193436,435400
5/19/20,66.32,66.690002,65.709999,65.709999,62.480309,516600
5/20/20,66.669998,67.040001,66.574997,66.860001,63.573772,563500
5/21/20,66.830002,66.959999,66.089996,66.360001,63.098351,386300
5/22/20,66.400002,66.559998,66.059998,66.540001,63.269512,469700
5/26/20,68.089996,68.089996,67.260002,67.389999,64.077744,388900
5/27/20,68.040001,68.389999,66.849998,68.389999,65.028587,440700
5/28/20,68.730003,69.120003,68.080002,68.279999,64.923988,702600
5/29/20,68.120003,68.699997,67.519997,68.489998,65.123665,448700
6/1/20,68.529999,69.059998,68.32,68.919998,65.532532,518800
6/2/20,69.199997,69.470001,68.769997,69.470001,66.055481,394600
6/3/20,69.989998,70.550003,69.889999,70.389999,66.930275,394600
6/4/20,70.160004,70.489998,69.57,70.110001,66.66404,10576800
6/5/20,71.260002,72.260002,71.25,71.769997,68.242439,1535600
6/8/20,71.940002,72.68,71.870003,72.669998,69.098221,1706500
6/9/20,71.980003,72.519997,71.860001,72.239998,68.689346,2722600
6/10/20,72.449997,72.589996,71.650002,71.800003,68.271004,858400
6/11/20,70.080002,70.25,67.610001,67.75,64.420021,720800
6/12/20,69.330002,69.639999,67.25,68.580002,65.209236,888200
6/15/20,66.980003,69.255997,66.697998,69.040001,65.891632,601100
6/16/20,71.050003,71.050003,69.168999,70.25,67.04644,712300
6/17/20,70.650002,70.669998,69.919998,70.059998,66.86512,591100
6/18/20,69.830002,70.220001,69.739998,70.150002,66.951012,416300
6/19/20,71.029999,71.050003,69.410004,69.769997,66.588348,400800
6/22/20,69.800003,70.300003,69.400002,70.260002,67.055992,410000
6/23/20,70.970001,71.099998,70.434998,70.550003,67.332764,366500
6/24/20,70.099998,70.309998,68.339996,68.769997,65.633949,516700
6/25/20,68.730003,69.599998,68.150002,69.559998,66.387909,442800
6/26/20,69.370003,69.370003,67.82,67.959999,64.860893,535100
6/29/20,68.309998,68.849998,67.702003,68.839996,65.70076,374400
6/30/20,68.779999,70.260002,68.779999,69.989998,66.798309,401200
7/1/20,70.110001,70.660004,70.068001,70.410004,67.199165,655400
7/2/20,71.199997,71.540001,70.610001,70.75,67.523651,465700
7/6/20,71.800003,72.019997,71.610001,71.959999,68.678459,450600
7/7/20,71.68,72.089996,71.099998,71.220001,67.972221,392400
7/8/20,71.43,71.800003,71,71.800003,68.525772,1491700
7/9/20,72.040001,72.040001,70.559998,71.459999,68.201279,586900
7/10/20,71.339996,72.199997,71.050003,72.18,68.888451,381700
7/13/20,72.779999,73.300003,71.309998,71.400002,68.144028,367300
7/14/20,71.040001,72.432999,70.790001,72.383003,69.082184,511400
7/15/20,73.239998,73.260002,72.394997,73.080002,69.747414,387700
7/16/20,72.639999,72.919998,72.379997,72.82,69.499252,1514300
7/17/20,72.970001,73.209999,72.550003,73.029999,69.699669,414000
7/20/20,73.029999,73.860001,72.800003,73.720001,70.358215,444200
7/21/20,74.269997,74.269997,73.57,73.75,70.386856,483000
7/22/20,73.75,74.264999,73.709999,74.220001,70.835426,389900
7/23/20,74.209999,74.319,72.900002,73.290001,69.947838,482700
7/24/20,72.75,73,72.355003,72.760002,69.442001,266300
7/27/20,72.989998,73.394997,72.720001,73.32,69.976456,377000
7/28/20,73.129997,73.389999,72.773003,72.82,69.499252,467200
7/29/20,73.080002,73.940002,73.080002,73.809998,70.444099,321100
7/30/20,73.129997,73.629997,72.589996,73.540001,70.186424,1631200
7/31/20,74.080002,74.150002,72.959999,74.139999,70.759064,482300
8/3/20,74.599998,74.879997,74.460999,74.709999,71.303078,323800
8/4/20,74.559998,74.989998,74.466003,74.989998,71.57029,319000
8/5/20,75.290001,75.489998,75.245003,75.449997,72.009338,329500
8/6/20,75.370003,75.940002,75.209999,75.93,72.467438,267800
8/7/20,75.589996,75.976997,75.379997,75.949997,72.486534,416500
8/10/20,76.110001,76.144997,75.5,76.050003,72.581963,373200
8/11/20,76.339996,76.518997,75.289001,75.400002,71.961601,346300
8/12/20,76.099998,76.760002,76.099998,76.559998,73.06871,332700
8/13/20,76.510002,76.839996,76.260002,76.519997,73.030518,759500
8/14/20,76.489998,76.601997,76.25,76.510002,73.020981,298000
8/17/20,76.809998,76.889999,76.68,76.800003,73.29776,338000
8/18/20,76.970001,77.150002,76.610001,77.028999,73.516327,423600
8/19/20,77.129997,77.25,76.599998,76.720001,73.221405,361800
8/20/20,76.349998,77.129997,76.25,77.029999,73.517273,496200
8/21/20,77.029999,77.360001,76.900002,77.32,73.794044,280900
8/24/20,77.940002,78,77.599998,77.970001,74.414406,349800
8/25/20,78.139999,78.309998,77.862999,78.309998,74.738892,280500
8/26/20,78.470001,79.239998,78.379997,79.199997,75.588303,449600
8/27/20,79.379997,79.699997,78.900002,79.330002,75.712395,409500
8/28/20,79.629997,79.839996,79.330002,79.82,76.180054,1556700
8/31/20,79.844002,80.080002,79.540001,79.68,76.046432,499300
9/1/20,79.93,80.43,79.690002,80.43,76.762222,390100
9/2/20,80.93,81.699997,80.454002,81.559998,77.840698,429800
9/3/20,80.949997,81.045998,77.900002,78.510002,74.929771,431500
9/4/20,78.68,79.099998,76.080002,77.800003,74.252167,428900
9/8/20,76.220001,76.629997,75.449997,75.550003,72.104767,921400
9/9/20,76.470001,77.639999,76.32,77.080002,73.56498,367600
9/10/20,77.669998,77.760002,75.510002,75.800003,72.343361,372800
9/11/20,76.199997,76.400002,75.040001,75.82,72.36245,460300
9/14/20,76.580002,77.238998,76.432999,76.849998,73.345474,400100
9/15/20,77.550003,77.689003,77.013,77.32,73.794044,426200
9/16/20,77.650002,77.940002,76.910004,76.980003,73.469559,373800
9/17/20,75.709999,76.660004,75.620003,76.309998,72.830109,534800
9/18/20,76.580002,76.580002,74.870003,75.529999,72.08567,325800
9/21/20,74.300003,74.809998,73.470001,74.809998,71.398514,364700
9/22/20,75.07,75.599998,74.464996,75.489998,72.047493,480300
9/23/20,75.360001,75.360001,73.268997,73.379997,70.297249,731400
9/24/20,72.940002,74.294998,72.68,73.480003,70.393051,728600
9/25/20,73.449997,74.980003,73.209999,74.870003,71.72467,355800
9/28/20,75.889999,76.227997,75.610001,76.080002,72.883835,254300
9/29/20,76.110001,76.18,75.553001,75.669998,72.491058,345300
9/30/20,75.860001,76.995003,75.809998,76.209999,73.008377,565900
10/1/20,76.82,77.080002,76.330002,76.699997,73.477776,442600
10/2/20,75.379997,76.489998,75.379997,76.050003,72.855087,417300
10/5/20,76.589996,77.419998,76.589996,77.370003,74.119629,276500
10/6/20,77.419998,77.980003,76.217003,76.370003,73.161652,812300
10/7/20,77.18,77.889999,77.080002,77.720001,74.454918,16329600
10/8/20,78.220001,78.410004,77.980003,78.379997,75.087189,2502000
10/9/20,78.870003,79.220001,78.650002,79.110001,75.786522,2384700
10/12/20,79.82,80.75,79.660004,80.32,76.945702,587300
10/13/20,80.459999,80.459999,79.709999,79.900002,76.543358,864500
10/14/20,80.150002,80.324997,79.264999,79.459999,76.121834,800700
10/15/20,78.519997,79.480003,78.394997,79.389999,76.054756,979800
10/16/20,79.779999,80.059998,79.279999,79.32,75.987709,945500
10/19/20,79.660004,79.765999,77.889999,78.129997,74.847702,595900
10/20/20,78.440002,79.18,78.25,78.389999,75.096771,779500
10/21/20,78.440002,78.910004,78.18,78.209999,74.924339,621900
10/22/20,78.300003,78.769997,77.731003,78.660004,75.355446,562100
10/23/20,78.849998,78.879997,78.279999,78.830002,75.518295,608300
10/26/20,78.160004,78.260002,76.559998,77.389999,74.138802,634400
10/27/20,77.57,77.620003,77.150002,77.239998,73.995079,514200
10/28/20,75.870003,75.970001,74.472,74.580002,71.446831,630700
